"Год продажи,""Неделя продажи"",""Город"",""ЖК"",""Корпус"",""Накопленная сумма продаж"",""Накопленная себестоимость"",""Накопленный объем проданных кв.м."",""Выручка за неделю"",""Количество проданных помещений за"",""Сумма проданных кв.м. за неделю"""
2026.0,18.0,Екатеринбург,Маяковский,Корпус 1,479990368,378442144,2701.1,132218288,27,10923364352
2026.0,18.0,Екатеринбург,Энергетик,Корпус 2,487545536,389172672,2727.7,8276040.0,1,487545536
2026.0,18.0,Екатеринбург,Энергетик,Корпус 3,499196832,398377184,2785.7,9204511.0,2,993083648
2026.0,18.0,Верхняя Пышма,Таёжный,Корпус 1,68362480,55985272,539.6,31479356,6,330895648
2026.0,18.0,Екатеринбург,Академический,Корпус 4,368881408,306140384,2612.1,7745412.5,1,368881408
2026.0,18.0,Екатеринбург,Академический,Корпус 1,277239264,229517136,1985.1,27821278,5,1323235968
2026.0,18.0,Екатеринбург,Энергетик,Корпус 4,510856224,407588128,2845.8,9210926.0,1,510856224
2026.0,18.0,Екатеринбург,Академический,Корпус 2,340463776,282616512,2422.2,53099376,10,3132863744
2026.0,18.0,Екатеринбург,Энергетик,Корпус 5,541046912,431438784,2993.0,23850668,3,1596897664
2026.0,18.0,Нижний Тагил,Запрудный,Корпус 1,60305088,50742604,564.7,50742604,13,404776640
2026.0,18.0,Верхняя Пышма,Таёжный,Корпус 2,82775288,67659648,650.0,11674376,2,160432704
2026.0,18.0,Верхняя Пышма,Таёжный,Корпус 3,99703408,81547968,784.5,13888321,3,283741472
2026.0,18.0,Екатеринбург,Маяковский,Корпус 2,661794816,521786752,3709.4,143344592,25,14537352192
2026.0,18.0,Екатеринбург,Исеть-скай,Корпус А,348030784,261547040,736.8,261547040,11,2202004224
2026.0,18.0,Екатеринбург,Академический,Корпус 3,359435808,298394944,2548.6,15778442,3,1059242112
2026.0,18.0,Екатеринбург,Маяковский,Корпус 4 (Парковка),826265984,649413056,4571.7,14651875,7,5723055104
2026.0,18.0,Екатеринбург,Исеть-скай,Корпус Б,632404096,477526208,1431.7,215979168,8,4043628032
2026.0,18.0,Екатеринбург,Исеть-скай,Корпус В (Парковка),662057728,496801056,1524.7,19274860,6,3897734144
2026.0,18.0,Нижний Тагил,Запрудный,Корпус 2,142859536,119830320,1330.1,69087712,17,1799591296
2026.0,18.0,Екатеринбург,Маяковский,Корпус 3,805791616,634761216,4473.2,112974456,17,12482661376
2026.0,17.0,Екатеринбург,Энергетик,Корпус 3,550615360,440111680,3071.2,25000908,3,1615649408
2026.0,17.0,Екатеринбург,Маяковский,Корпус 1,349459392,276868832,1904.3,166406864,31,7815161856
2026.0,17.0,Екатеринбург,Маяковский,Корпус 4 (Парковка),665208064,522661792,3623.1,31609376,15,9668451328
2026.0,17.0,Екатеринбург,Энергетик,Корпус 5,569768960,455243008,3169.2,9090688.0,1,569768960
2026.0,17.0,Верхняя Пышма,Таёжный,Корпус 1,71065280,58265360,586.6,21774238,5,307985888
2026.0,17.0,Екатеринбург,Исеть-скай,Корпус В (Парковка),719132480,538265984,1616.1,22798222,7,4929329664
2026.0,17.0,Екатеринбург,Академический,Корпус 4,388231904,324172064,2728.4,11842553,2,767241344
2026.0,17.0,Екатеринбург,Академический,Корпус 2,344866816,288228480,2440.1,37597576,7,2270011392
2026.0,17.0,Екатеринбург,Маяковский,Корпус 3,620380160,491052416,3410.6,106883984,16,8946723840
